participant_id,组别,来源,AI熟悉度,前测自评能力,AI使用频率(1-5),整体正确率,AI图正确率,真实图正确率,后测表现自评,delete,性别,年龄段,学历,AI工具使用经验,干预停留时间(秒),阅读了干预材料,阅读了策略列表,策略使用程度,注意力检测通过,mc_passed,学历分组
bd1d97a3-3e79-471f-bfdc-aebc4284735d,1,0,4,3,3,0.524,0.667,0.417,4,,1.0,1,3,1,9,2,1.0,5.0,1.0,1,2
07c55c92-f08b-408a-b499-3679bab4bece,0,1,2,2,5,0.524,0.667,0.417,3,,1.0,1,3,1,9,2,,,1.0,1,2
3670aa0d-11f6-436d-bd33-5597d7481884,0,1,2,2,5,0.381,0.222,0.5,2,,0.0,1,3,0,3,0,,,1.0,1,2
c980770c-4c59-455e-9aec-f91b0d047bee,0,1,3,4,5,0.286,0.333,0.25,4,,1.0,2,4,1,3,0,,,1.0,1,3
3def5a46-c3db-468c-b76f-f5e2d38fc8dd,0,1,2,2,5,0.429,0.444,0.417,2,,0.0,1,4,1,5,2,,,1.0,1,3
d219bf21-7f1e-4904-b109-7badc8b124f8,1,1,4,2,5,0.714,0.778,0.667,3,,1.0,2,4,1,20,2,1.0,2.0,1.0,1,3
bf33a642-b7f0-403a-89bb-8e52e265f398,0,1,2,1,5,0.238,0.111,0.333,2,,1.0,1,3,1,3,0,,,1.0,1,2
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,1,1,4,4,4,0.714,0.556,0.833,3,,0.0,2,3,1,26,2,1.0,4.0,1.0,1,2
57f65c7d-2a56-40e0-8c5c-4cfc03b81ddc,1,1,4,4,4,0.857,0.778,0.917,4,,0.0,4,4,1,36,2,1.0,3.0,1.0,1,3
11d78bc7-04c6-48a0-b2c8-79a457cbc49d,0,1,5,4,4,0.667,0.778,0.583,3,,1.0,1,3,0,5,0,,,1.0,1,2
50da05a7-4a60-4c9d-a069-f350457f0c3f,0,1,4,4,4,0.762,0.667,0.833,2,,0.0,2,4,1,8,0,,,1.0,1,3
c0ca47a7-a615-4706-a662-a44c6ef9c7da,0,1,3,3,4,0.714,0.667,0.75,4,,0.0,1,5,1,8,2,,,1.0,1,3
e8315818-d6fe-429f-997f-c8b93ebaae94,1,1,4,3,4,0.714,0.889,0.583,4,,0.0,4,5,1,8,2,1.0,3.0,1.0,1,3
73a837cd-78b8-45fd-b285-a4a6cea03f24,1,1,3,3,4,0.905,0.778,1.0,4,,0.0,1,4,1,9,2,1.0,3.0,1.0,1,3
41f33051-ca0e-4a1f-ad50-d8e3a564df25,1,1,3,3,4,0.762,0.889,0.667,3,,0.0,1,4,1,18,2,1.0,3.0,1.0,1,3
0d667e6c-ae9c-441e-b61a-5e454093bcd9,1,1,4,2,4,0.476,0.556,0.417,4,,1.0,1,4,1,7,2,1.0,3.0,1.0,1,3
63f825fa-f48f-444d-b333-927d4b6de564,1,1,3,1,4,0.714,0.556,0.833,3,,0.0,1,4,1,34,2,1.0,3.0,1.0,1,3
ca4a5371-94cb-4af0-82a0-6d28ff180026,1,1,2,4,3,0.619,0.556,0.667,4,,1.0,1,2,1,10,2,1.0,3.0,1.0,1,1
ca03e257-2731-4073-8823-9e6be74b2ce3,1,1,4,4,3,0.714,0.889,0.583,3,,1.0,3,3,0,13,2,1.0,2.0,1.0,1,2
315a452a-fc42-496a-be60-ab9a20b4893b,0,1,3,4,3,0.81,0.889,0.75,4,,0.0,1,3,1,9,2,,,1.0,1,2
a207ab51-5f6d-4123-9d8c-43052fff37eb,0,1,3,4,3,0.714,0.556,0.833,3,,0.0,1,2,1,4,2,,,1.0,1,1
d2dee2f5-9b42-4bd9-bcae-3f7dc5f60fa7,0,1,2,3,3,0.524,0.667,0.417,3,,1.0,2,3,1,6,2,,,1.0,1,2
9fc0a60e-aa1c-4cab-94f7-0bcd13b5dbf7,0,1,4,3,3,0.714,0.667,0.75,5,,1.0,3,4,1,3,0,,,1.0,1,3
3412da42-8d1d-46b7-8555-fcc9fb5a0973,1,1,3,3,3,0.429,0.444,0.417,2,,0.0,1,3,1,12,2,1.0,3.0,1.0,1,2
e44199cc-0b6c-4b1c-b7b2-c99999aee34b,1,1,4,3,3,0.714,0.889,0.583,3,,0.0,1,1,1,7,2,1.0,5.0,1.0,1,1
a0fd334a-554a-4e69-a6db-6f1e8586ca5f,0,1,4,2,4,0.476,0.444,0.5,4,,1.0,2,3,1,8,2,,,1.0,1,2
f3dcf613-ca02-4ab6-9062-b3d656bdca0a,1,0,5,3,3,0.714,0.778,0.667,3,,0.0,2,4,1,55,2,1.0,4.0,1.0,1,3
376d22d5-c528-459d-9227-b3abacbece81,1,0,2,3,2,0.333,0.778,0.0,3,,1.0,4,3,1,10,2,1.0,3.0,1.0,1,2
a56e4b61-832a-4945-bab5-456044fa33e4,1,0,4,3,5,0.619,0.667,0.583,3,,1.0,1,3,1,7,2,1.0,3.0,1.0,1,2
dcec668c-29d4-4db5-9198-c4ea1a30e1b3,1,0,4,3,3,0.476,0.444,0.5,3,,1.0,1,3,1,6,2,1.0,4.0,1.0,1,2
eb3dd866-661a-490b-b487-cb0906195fe6,1,0,4,3,3,0.381,0.556,0.25,3,,1.0,1,3,1,11,2,1.0,4.0,1.0,1,2
b9e3c9a5-5bca-4c4e-a203-d812f2c23a5e,1,0,3,3,2,0.619,0.222,0.917,3,,1.0,4,1,1,20,2,1.0,2.0,1.0,1,1
8f0882ca-44f3-4b71-b6bc-2886af1a80d5,1,0,3,3,2,0.571,0.111,0.917,3,,0.0,4,1,1,16,2,1.0,3.0,1.0,1,1
3286160b-00fd-48c6-9740-100d93f928cf,1,0,5,3,4,0.524,0.222,0.75,2,,1.0,1,4,1,23,2,1.0,2.0,1.0,1,3
af8d294f-d57f-4d50-99cb-eafc565429f1,1,0,2,3,2,0.714,0.889,0.583,2,,1.0,4,2,1,10,2,1.0,3.0,1.0,1,1
fa154827-8602-4668-8cc5-11d7cc80b637,0,1,3,2,3,0.667,0.667,0.667,2,,0.0,1,3,1,5,2,,,1.0,1,2
f5231de7-3c41-4203-bccd-c96f36a3c1d3,0,1,2,2,3,0.619,0.889,0.417,3,,0.0,1,4,1,3,0,,,1.0,1,3
d18d0a88-3bc3-4984-9ef3-df1a04bd9d05,0,1,3,2,3,0.714,0.667,0.75,2,,1.0,4,2,1,3,1,,,1.0,1,1
f9cd2c98-bfc8-4c5b-979c-6b25f6a83a31,1,1,3,1,3,0.762,0.667,0.833,3,,0.0,1,5,1,16,2,1.0,5.0,1.0,1,3
b6614348-02eb-4b0c-8aba-cf011a2da55f,0,1,5,5,2,0.714,0.667,0.75,2,,1.0,1,1,0,8,0,,,1.0,1,1
c76d0ddb-18f0-4cb3-973f-15bc63de5f98,0,1,5,5,2,0.714,0.778,0.667,3,,1.0,4,2,1,6,0,,,1.0,1,1
982acd14-8270-4768-8d63-abe8bd5315ba,1,0,2,2,3,0.429,0.333,0.5,4,,1.0,4,2,1,43,2,1.0,3.0,1.0,1,1
0c687978-2cd5-438a-a7b4-ea279c3036a6,1,0,4,2,3,0.524,0.556,0.5,3,,1.0,2,4,1,16,2,1.0,4.0,1.0,1,3
7c60fb83-1002-4feb-8162-fcbccae202c8,0,1,4,4,2,0.381,0.556,0.25,3,,1.0,4,3,0,7,2,,,1.0,1,2
201d045f-2007-4b17-864f-2fc59f08fc2e,1,1,4,3,2,0.905,1.0,0.833,4,,1.0,1,4,1,15,2,1.0,4.0,1.0,1,3
10d10ab0-e2fb-4024-b682-95b4f6adc9c0,0,1,2,3,2,0.524,0.556,0.5,4,,0.0,2,2,1,4,0,,,1.0,1,1
b8bfcd44-a74e-44cc-a1bc-f43e2dd77f50,1,1,3,3,2,0.81,0.778,0.833,3,,0.0,1,1,0,28,2,1.0,3.0,1.0,1,1
a1e25e3e-85e1-453e-9435-b858744561e7,1,0,2,1,3,0.476,0.667,0.333,2,,0.0,1,3,1,28,2,1.0,2.0,1.0,1,2
b4033051-7aa8-4633-ba36-f1f34b4a84a2,0,1,2,1,3,0.286,0.333,0.25,2,,0.0,2,5,1,6,0,,,1.0,1,3
e44be372-e609-4c27-964b-36d0bc2010bc,1,1,2,1,2,0.571,0.222,0.833,4,,1.0,1,5,1,29,2,1.0,3.0,1.0,1,3
018b6e1e-f0ef-4e47-b67a-6e3efaebcfa8,0,1,3,2,1,0.571,0.556,0.583,3,,0.0,3,5,1,6,0,,,1.0,1,3
59e8a63d-55f7-4a74-a414-9d242a76b6da,1,1,3,1,1,0.571,0.444,0.667,4,,0.0,1,4,1,7,2,1.0,3.0,1.0,1,3
