participant_id,组别,来源,AI熟悉度,前测自评能力,AI使用频率(1-5),整体正确率,AI图正确率,真实图正确率,后测表现自评,delete
eb245518-0398-4285-8a09-bd9da0a7ef2a,C,synth,3,4,4,0.857,0.889,0.833,4,
f5b2e6dd-1c52-4d12-a6ec-351ddb62d281,C,synth,3,5,5,0.81,0.889,0.75,3,
a1bfbe83-787b-4243-beb4-62adbc16d687,C,synth,3,5,5,0.714,0.778,0.667,4,
4a56e17e-344c-4772-8201-8d2a699b8a61,C,synth,4,4,5,0.762,0.667,0.833,4,
1eeb3139-42eb-48e4-b1ec-b01dc9e6d384,C,synth,4,4,5,0.571,0.556,0.583,4,
e2e07f1d-8179-4412-945a-b10e3aea8e2a,C,real,5,4,5,0.762,0.667,0.833,3,
dc165136-ff71-4ab3-8e4b-5afe4edf0d1b,C,real,2,4,4,0.905,1,0.833,4,
572cc315-3457-446d-9de2-5477fb08fd31,C,real,3,4,3,0.667,0.778,0.583,4,
8eff7806-5802-4e73-9c65-83d7084a914f,C,real,1,4,3,0.619,0.556,0.667,4,
54ba9906-0213-4277-b841-ca391c6f6252,C,real,4,4,4,0.381,0.333,0.417,4,1
31700d1b-9dea-42f9-ac04-cbbba4bf9d45,C,real,3,4,3,0.571,0.222,0.833,2,
443e8258-0906-476e-83f3-794ca9a421fa,C,real,4,4,3,0.571,0.778,0.417,3,
93a06e6f-5a94-453a-bea6-f13a2dcecd93,C,real,5,4,3,0.619,0.667,0.583,4,
eb82f5c2-3642-40bb-969d-5651f118cdfa,C,real,4,4,2,0.286,0.222,0.333,4,
10d8137d-a2b4-4482-9378-b1a9c51a5150,C,synth,4,4,5,0.714,0.667,0.75,4,
d17ffa1d-c836-42b8-8919-74166c3efa7c,C,synth,4,4,5,0.762,0.778,0.75,3,
5f19ca96-956b-42ac-811a-73411f258cd0,C,synth,5,4,5,0.857,0.778,0.917,4,
da53cc4c-0dac-44ec-8ee9-5bfd3f6cc094,A,synth,3,4,5,0.81,0.778,0.833,3,
1d4f54e4-16a4-4d27-a651-2abf2087e42d,A,synth,4,4,4,0.857,0.778,0.917,3,
b1ae4b31-7866-444a-8d59-c3310d967d7d,A,synth,5,4,5,0.857,1,0.75,3,
49b70791-365c-4f01-8a9e-5f6aef742c47,A,synth,4,4,5,0.476,0.556,0.417,4,
1f9cdaee-12e7-42bd-9298-eacdbbc99c6e,A,synth,4,5,5,0.571,0.444,0.667,2,
8f21d525-c20e-4516-a80c-a6efc857158e,A,synth,3,3,5,0.619,0.667,0.583,1,
6daa33aa-d79f-4878-9fb7-85b45d71f146,A,synth,4,2,5,0.762,0.778,0.75,3,
70d96c86-c17b-45aa-9c25-d845eecf5473,C,real,4,3,5,0.81,0.889,0.75,3,
7bdd05f3-157f-460a-9fa7-78218f38e94a,C,real,4,3,4,0.762,0.667,0.833,2,
bd1d97a3-3e79-471f-bfdc-aebc4284735d,C,real,4,3,3,0.524,0.667,0.417,4,
07c55c92-f08b-408a-b499-3679bab4bece,A,synth,2,2,5,0.524,0.667,0.417,3,
3670aa0d-11f6-436d-bd33-5597d7481884,A,synth,2,2,5,0.381,0.222,0.5,2,
c980770c-4c59-455e-9aec-f91b0d047bee,A,synth,3,4,5,0.286,0.333,0.25,4,
3def5a46-c3db-468c-b76f-f5e2d38fc8dd,A,synth,2,2,5,0.429,0.444,0.417,2,
0db24881-938d-4dc8-bcdc-00ffc17310aa,C,synth,1,2,5,0.81,0.889,0.75,4,
d219bf21-7f1e-4904-b109-7badc8b124f8,C,synth,4,2,5,0.714,0.778,0.667,3,
bf33a642-b7f0-403a-89bb-8e52e265f398,A,synth,2,1,5,0.238,0.111,0.333,2,
bf6b76da-b022-4388-a496-7e9e99e83375,C,synth,3,3,4,0.81,0.778,0.833,4,
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,C,synth,4,4,4,0.714,0.556,0.833,3,
57f65c7d-2a56-40e0-8c5c-4cfc03b81ddc,C,synth,4,4,4,0.857,0.778,0.917,4,
11d78bc7-04c6-48a0-b2c8-79a457cbc49d,A,synth,5,4,4,0.667,0.778,0.583,3,
50da05a7-4a60-4c9d-a069-f350457f0c3f,A,synth,4,4,4,0.762,0.667,0.833,2,
c0ca47a7-a615-4706-a662-a44c6ef9c7da,A,synth,3,3,4,0.714,0.667,0.75,4,
e8315818-d6fe-429f-997f-c8b93ebaae94,C,synth,4,3,4,0.714,0.889,0.583,4,
73a837cd-78b8-45fd-b285-a4a6cea03f24,C,synth,3,3,4,0.905,0.778,1,4,
41f33051-ca0e-4a1f-ad50-d8e3a564df25,C,synth,3,3,4,0.762,0.889,0.667,3,
0d667e6c-ae9c-441e-b61a-5e454093bcd9,C,synth,4,2,4,0.476,0.556,0.417,4,
0f0cda5d-d4fa-40be-9178-1e8a2c6495e1,C,synth,3,2,4,0.524,0.667,0.417,3,
63f825fa-f48f-444d-b333-927d4b6de564,C,synth,3,1,4,0.714,0.556,0.833,3,
2a30e96f-01dc-4229-b465-2ad5b73b38a1,C,synth,4,4,3,0.667,0.556,0.75,4,
ca4a5371-94cb-4af0-82a0-6d28ff180026,C,synth,2,4,3,0.619,0.556,0.667,4,
ca03e257-2731-4073-8823-9e6be74b2ce3,C,synth,4,4,3,0.714,0.889,0.583,3,
315a452a-fc42-496a-be60-ab9a20b4893b,A,synth,3,4,3,0.81,0.889,0.75,4,
a207ab51-5f6d-4123-9d8c-43052fff37eb,A,synth,3,4,3,0.714,0.556,0.833,3,
d2dee2f5-9b42-4bd9-bcae-3f7dc5f60fa7,A,synth,2,3,3,0.524,0.667,0.417,3,
9fc0a60e-aa1c-4cab-94f7-0bcd13b5dbf7,A,synth,4,3,3,0.714,0.667,0.75,5,
3412da42-8d1d-46b7-8555-fcc9fb5a0973,C,synth,3,3,3,0.429,0.444,0.417,2,
e44199cc-0b6c-4b1c-b7b2-c99999aee34b,C,synth,4,3,3,0.714,0.889,0.583,3,
a0fd334a-554a-4e69-a6db-6f1e8586ca5f,A,synth,4,2,4,0.476,0.444,0.5,4,
f3dcf613-ca02-4ab6-9062-b3d656bdca0a,C,real,5,3,3,0.714,0.778,0.667,3,
376d22d5-c528-459d-9227-b3abacbece81,C,real,2,3,2,0.333,0.778,0,3,
a56e4b61-832a-4945-bab5-456044fa33e4,C,real,4,3,5,0.619,0.667,0.583,3,
dcec668c-29d4-4db5-9198-c4ea1a30e1b3,C,real,4,3,3,0.476,0.444,0.5,3,
eb3dd866-661a-490b-b487-cb0906195fe6,C,real,4,3,3,0.381,0.556,0.25,3,
b9e3c9a5-5bca-4c4e-a203-d812f2c23a5e,C,real,3,3,2,0.619,0.222,0.917,3,
8f0882ca-44f3-4b71-b6bc-2886af1a80d5,C,real,3,3,2,0.571,0.111,0.917,3,
3286160b-00fd-48c6-9740-100d93f928cf,C,real,5,3,4,0.524,0.222,0.75,2,
af8d294f-d57f-4d50-99cb-eafc565429f1,C,real,2,3,2,0.714,0.889,0.583,2,
fa154827-8602-4668-8cc5-11d7cc80b637,A,synth,3,2,3,0.667,0.667,0.667,2,
f5231de7-3c41-4203-bccd-c96f36a3c1d3,A,synth,2,2,3,0.619,0.889,0.417,3,
d18d0a88-3bc3-4984-9ef3-df1a04bd9d05,A,synth,3,2,3,0.714,0.667,0.75,2,
f9cd2c98-bfc8-4c5b-979c-6b25f6a83a31,C,synth,3,1,3,0.762,0.667,0.833,3,
b6614348-02eb-4b0c-8aba-cf011a2da55f,A,synth,5,5,2,0.714,0.667,0.75,2,
c76d0ddb-18f0-4cb3-973f-15bc63de5f98,A,synth,5,5,2,0.714,0.778,0.667,3,
982acd14-8270-4768-8d63-abe8bd5315ba,C,real,2,2,3,0.429,0.333,0.5,4,
3186a99e-25c2-42bb-94a6-4ef2758e4c99,C,real,3,2,5,0.619,0.889,0.417,4,
0c687978-2cd5-438a-a7b4-ea279c3036a6,C,real,4,2,3,0.524,0.556,0.5,3,
662e6bd0-995a-4088-ad99-e85ae76fe58a,C,real,3,2,2,0.619,0.889,0.417,3,
7c60fb83-1002-4feb-8162-fcbccae202c8,A,synth,4,4,2,0.381,0.556,0.25,3,
201d045f-2007-4b17-864f-2fc59f08fc2e,C,synth,4,3,2,0.905,1,0.833,4,
10d10ab0-e2fb-4024-b682-95b4f6adc9c0,A,synth,2,3,2,0.524,0.556,0.5,4,
b8bfcd44-a74e-44cc-a1bc-f43e2dd77f50,C,synth,3,3,2,0.81,0.778,0.833,3,
a1e25e3e-85e1-453e-9435-b858744561e7,C,real,2,1,3,0.476,0.667,0.333,2,
b4033051-7aa8-4633-ba36-f1f34b4a84a2,A,synth,2,1,3,0.286,0.333,0.25,2,
e44be372-e609-4c27-964b-36d0bc2010bc,C,synth,2,1,2,0.571,0.222,0.833,4,
018b6e1e-f0ef-4e47-b67a-6e3efaebcfa8,A,synth,3,2,1,0.571,0.556,0.583,3,
59e8a63d-55f7-4a74-a414-9d242a76b6da,C,synth,3,1,1,0.571,0.444,0.667,4,
7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,C,real,0,0,,0.714,0.667,0.75,4,1
