_id,participant_id,group,completed,consent_given,consent_timestamp,intervention_duration_s,total_duration_s,age,gender,education,ai_tool_usage,ai_familiarity,self_assessed_ability,ai_exposure_freq,image_seed,current_phase,created_at,__v
bca82b0b-7ddd-401c-b018-c40bfd2932de,df191463-be38-4dd8-b73c-b5d4ae1e74ac,A,True,True,Sun Mar 01 2026 13:07:00 GMT+0000 (Coordinated Universal Time),6,477,45-54,female,masters,yes,4,5,sometimes,df191463-be38-4dd8-b73c-b5d4ae1e74ac,5,Sun Mar 01 2026 13:07:00 GMT+0000 (Coordinated Universal Time),0
0980fd71-06ea-4794-a120-966241088eb4,e80e89e8-a413-4314-bbec-7a9fa0d7f7a7,C,True,True,Sun Mar 01 2026 13:30:20 GMT+0000 (Coordinated Universal Time),64,1422,18-24,female,doctorate,no,3,3,rarely,e80e89e8-a413-4314-bbec-7a9fa0d7f7a7,5,Sun Mar 01 2026 13:30:20 GMT+0000 (Coordinated Universal Time),0
3c49155a-bada-4428-b97b-898259a091ca,b61ef6df-338f-4da2-ad41-fdf629f87c49,A,True,True,Sun Mar 01 2026 13:50:05 GMT+0000 (Coordinated Universal Time),7,263,18-24,male,doctorate,yes,4,4,often,b61ef6df-338f-4da2-ad41-fdf629f87c49,5,Sun Mar 01 2026 13:50:05 GMT+0000 (Coordinated Universal Time),0
2915cf20-49c9-4099-8ff2-0146383f700a,839ae30e-5b0e-4ff1-9cfb-58e893ea128a,A,True,True,Sun Mar 01 2026 14:38:57 GMT+0000 (Coordinated Universal Time),9,194,25-34,male,masters,yes,2,1,often,839ae30e-5b0e-4ff1-9cfb-58e893ea128a,5,Sun Mar 01 2026 14:38:57 GMT+0000 (Coordinated Universal Time),0
411d892b-d762-4d1a-b427-343739bbcd8b,e247cbc6-2bf5-41dd-a65a-cf2d37bb54e8,C,True,True,Sun Mar 01 2026 15:05:54 GMT+0000 (Coordinated Universal Time),15,170,25-34,male,bachelors,yes,5,4,sometimes,e247cbc6-2bf5-41dd-a65a-cf2d37bb54e8,5,Sun Mar 01 2026 15:05:54 GMT+0000 (Coordinated Universal Time),0
c4e60945-dcf3-4595-97b1-fd4e8bc6dcd9,2687a7ad-61dd-4c2f-bcda-2fb03e8400a9,C,True,True,Sun Mar 01 2026 15:33:26 GMT+0000 (Coordinated Universal Time),19,669,18-24,female,bachelors,yes,2,2,sometimes,2687a7ad-61dd-4c2f-bcda-2fb03e8400a9,5,Sun Mar 01 2026 15:33:26 GMT+0000 (Coordinated Universal Time),0
3667e300-c19b-4265-900c-b73220f20df0,17428a45-12a0-4541-84ac-656e13bdd79a,A,True,True,Sun Mar 01 2026 16:25:59 GMT+0000 (Coordinated Universal Time),3,785,45-54,male,masters,no,2,2,very-often,17428a45-12a0-4541-84ac-656e13bdd79a,5,Sun Mar 01 2026 16:25:59 GMT+0000 (Coordinated Universal Time),0
95e700da-5cdf-4570-81d5-a97478ea2ba2,89984002-a4e4-4838-b488-dbafdb6baec6,C,True,True,Sun Mar 01 2026 17:24:47 GMT+0000 (Coordinated Universal Time),30,120,25-34,male,bachelors,yes,5,5,very-often,89984002-a4e4-4838-b488-dbafdb6baec6,5,Sun Mar 01 2026 17:24:47 GMT+0000 (Coordinated Universal Time),0
b44fb837-736d-4129-ab5e-8d30c73f72f3,5003083a-d034-4f21-acdf-eed9ec65cab3,C,True,True,Sun Mar 01 2026 17:56:13 GMT+0000 (Coordinated Universal Time),19,270,35-44,male,masters,yes,4,3,sometimes,5003083a-d034-4f21-acdf-eed9ec65cab3,5,Sun Mar 01 2026 17:56:13 GMT+0000 (Coordinated Universal Time),0
4282435c-42d2-4855-a221-5f8b946399fc,b666bfe7-7b85-424f-b8cd-bc3b59c7ae79,C,True,True,Sun Mar 01 2026 18:18:38 GMT+0000 (Coordinated Universal Time),15,504,35-44,female,masters,yes,4,3,often,b666bfe7-7b85-424f-b8cd-bc3b59c7ae79,5,Sun Mar 01 2026 18:18:38 GMT+0000 (Coordinated Universal Time),0
a681311e-5813-4f95-b042-d8c3d61756f1,2fd30af5-7786-4ba8-b95b-cc7dc4931dec,C,True,True,Sun Mar 01 2026 18:23:47 GMT+0000 (Coordinated Universal Time),19,623,25-34,male,masters,yes,3,3,very-often,2fd30af5-7786-4ba8-b95b-cc7dc4931dec,5,Sun Mar 01 2026 18:23:47 GMT+0000 (Coordinated Universal Time),0
5dc8a873-60d0-4be5-ba13-d7a60dbd8b09,ea0c1b12-7bac-41c9-bb5a-7d86ef2bc32c,C,True,True,Sun Mar 01 2026 19:22:01 GMT+0000 (Coordinated Universal Time),11,513,18-24,male,bachelors,yes,3,4,very-often,ea0c1b12-7bac-41c9-bb5a-7d86ef2bc32c,5,Sun Mar 01 2026 19:22:01 GMT+0000 (Coordinated Universal Time),0
ea20876f-b376-4a51-bfea-03005947a938,e80d74e6-5b56-4c1e-8d61-219ed597b1ef,A,True,True,Sun Mar 01 2026 19:53:19 GMT+0000 (Coordinated Universal Time),7,180,25-34,female,some-college,yes,1,2,sometimes,e80d74e6-5b56-4c1e-8d61-219ed597b1ef,5,Sun Mar 01 2026 19:53:19 GMT+0000 (Coordinated Universal Time),0
7728794f-69eb-4045-8dc7-a05721d7fb98,ed7f7596-fd07-45ff-b881-25ba13750685,C,True,True,Sun Mar 01 2026 20:38:59 GMT+0000 (Coordinated Universal Time),91,242,18-24,male,some-college,yes,2,3,sometimes,ed7f7596-fd07-45ff-b881-25ba13750685,5,Sun Mar 01 2026 20:38:59 GMT+0000 (Coordinated Universal Time),0
0e39728f-9b48-4272-80d2-8ca20a042844,34326b64-b44c-4477-8236-936027e28672,A,True,True,Sun Mar 01 2026 21:26:24 GMT+0000 (Coordinated Universal Time),8,902,25-34,female,masters,yes,4,3,often,34326b64-b44c-4477-8236-936027e28672,5,Sun Mar 01 2026 21:26:24 GMT+0000 (Coordinated Universal Time),0
bd9e565c-d308-4d84-a826-0e5736aababd,7f6ce7ad-08ad-4fc2-980c-d64aa28a98af,C,True,True,Sun Mar 01 2026 21:55:13 GMT+0000 (Coordinated Universal Time),18,635,18-24,female,masters,yes,5,4,rarely,7f6ce7ad-08ad-4fc2-980c-d64aa28a98af,5,Sun Mar 01 2026 21:55:13 GMT+0000 (Coordinated Universal Time),0
5650c197-185e-4bf7-ad60-1af304ca38f4,b8da76a4-8770-471e-bf9a-b40fc9b8409e,A,True,True,Sun Mar 01 2026 22:51:24 GMT+0000 (Coordinated Universal Time),8,510,18-24,prefer-not-to-say,some-college,no,4,3,never,b8da76a4-8770-471e-bf9a-b40fc9b8409e,5,Sun Mar 01 2026 22:51:24 GMT+0000 (Coordinated Universal Time),0
8d489977-3727-47fe-8b3c-1eb4f7e7103d,36a1e564-3820-4c52-a1b5-281cad60242e,A,True,True,Sun Mar 01 2026 23:33:05 GMT+0000 (Coordinated Universal Time),9,663,45-54,prefer-not-to-say,bachelors,yes,2,1,often,36a1e564-3820-4c52-a1b5-281cad60242e,5,Sun Mar 01 2026 23:33:05 GMT+0000 (Coordinated Universal Time),0
c31dc8bf-d10a-44d7-b17a-6a7cdd240591,705e65c9-e54d-4f1b-aa43-a4e25339e379,C,True,True,Sun Mar 01 2026 23:38:31 GMT+0000 (Coordinated Universal Time),25,611,18-24,female,doctorate,yes,4,4,very-often,705e65c9-e54d-4f1b-aa43-a4e25339e379,5,Sun Mar 01 2026 23:38:31 GMT+0000 (Coordinated Universal Time),0
8ae84026-0cd8-407a-b7f0-51a4ebd5e9df,8179acba-f6b0-4909-808c-cb6bc6265994,C,True,True,Mon Mar 02 2026 00:34:43 GMT+0000 (Coordinated Universal Time),10,318,18-24,female,masters,yes,3,4,rarely,8179acba-f6b0-4909-808c-cb6bc6265994,5,Mon Mar 02 2026 00:34:43 GMT+0000 (Coordinated Universal Time),0
f3479cb9-b91a-47dc-b321-41aa5ac7516c,ffc309f8-d586-4fa5-b961-a6768fcc69ed,C,True,True,Mon Mar 02 2026 00:44:37 GMT+0000 (Coordinated Universal Time),38,691,25-34,female,high-school,yes,3,1,often,ffc309f8-d586-4fa5-b961-a6768fcc69ed,5,Mon Mar 02 2026 00:44:37 GMT+0000 (Coordinated Universal Time),0
5dfe50b4-a7b2-49d2-afdb-cddbf898a50d,165b420a-6dd8-450e-b149-9056d0e313a6,A,True,True,Mon Mar 02 2026 01:41:45 GMT+0000 (Coordinated Universal Time),8,177,18-24,male,bachelors,yes,5,4,very-often,165b420a-6dd8-450e-b149-9056d0e313a6,5,Mon Mar 02 2026 01:41:45 GMT+0000 (Coordinated Universal Time),0
b8f0e9ae-f44b-4edb-805e-aec92c077b0a,29a247e5-9c69-4bd0-bc93-758fc4a5b41d,C,True,True,Mon Mar 02 2026 01:55:15 GMT+0000 (Coordinated Universal Time),7,454,18-24,male,bachelors,yes,4,4,rarely,29a247e5-9c69-4bd0-bc93-758fc4a5b41d,5,Mon Mar 02 2026 01:55:15 GMT+0000 (Coordinated Universal Time),0
b051965d-fca4-4db5-b332-ac219302f1f2,287859ec-37c2-447d-94bf-b60d081d4c3b,A,True,True,Mon Mar 02 2026 02:39:16 GMT+0000 (Coordinated Universal Time),5,1604,45-54,male,high-school,yes,5,4,often,287859ec-37c2-447d-94bf-b60d081d4c3b,5,Mon Mar 02 2026 02:39:16 GMT+0000 (Coordinated Universal Time),0
72fcdb01-f1ab-4f4b-a97a-43b5d8daf153,022fc934-c148-426c-a1b4-0214e3df36b0,C,True,True,Mon Mar 02 2026 02:47:43 GMT+0000 (Coordinated Universal Time),13,508,18-24,prefer-not-to-say,doctorate,yes,2,1,very-often,022fc934-c148-426c-a1b4-0214e3df36b0,5,Mon Mar 02 2026 02:47:43 GMT+0000 (Coordinated Universal Time),0
cb5aa8a3-0472-4768-8858-ed38220c33dd,2cba8318-d156-4af9-b961-86c0f2ee6165,A,True,True,Mon Mar 02 2026 03:17:09 GMT+0000 (Coordinated Universal Time),4,2500,18-24,male,masters,yes,1,2,often,2cba8318-d156-4af9-b961-86c0f2ee6165,5,Mon Mar 02 2026 03:17:09 GMT+0000 (Coordinated Universal Time),0
ac098e63-e523-44fa-a6f3-793336f914b9,335eb40d-f5c9-4a7b-8e8c-b04eb91bdd06,A,True,True,Mon Mar 02 2026 03:29:56 GMT+0000 (Coordinated Universal Time),9,268,25-34,female,masters,yes,5,5,sometimes,335eb40d-f5c9-4a7b-8e8c-b04eb91bdd06,5,Mon Mar 02 2026 03:29:56 GMT+0000 (Coordinated Universal Time),0
5139b66a-fc76-43fd-86f5-55b0876e914a,1dc49c65-e282-40c5-9677-6eba8fc3dbcc,A,True,True,Mon Mar 02 2026 04:00:09 GMT+0000 (Coordinated Universal Time),4,343,45-54,male,masters,yes,4,3,often,1dc49c65-e282-40c5-9677-6eba8fc3dbcc,5,Mon Mar 02 2026 04:00:09 GMT+0000 (Coordinated Universal Time),0
c4aa8d11-eeec-4ce8-96ff-60f70dec6364,d048cec6-eb8b-4bc7-b38d-88cbfaae3f59,A,True,True,Mon Mar 02 2026 04:10:50 GMT+0000 (Coordinated Universal Time),4,1010,18-24,male,masters,no,2,1,sometimes,d048cec6-eb8b-4bc7-b38d-88cbfaae3f59,5,Mon Mar 02 2026 04:10:50 GMT+0000 (Coordinated Universal Time),0
e98a4166-28fa-4886-9c16-4088e3699d7f,9b05d91d-5396-4c56-a09a-a62d48f9fb38,C,True,True,Mon Mar 02 2026 04:59:18 GMT+0000 (Coordinated Universal Time),17,1156,18-24,prefer-not-to-say,masters,yes,2,1,very-often,9b05d91d-5396-4c56-a09a-a62d48f9fb38,5,Mon Mar 02 2026 04:59:18 GMT+0000 (Coordinated Universal Time),0
97272a2a-0255-4661-be7b-5849ae0b02d3,662c6838-2d42-404d-b0d2-19ffb4d92a28,C,True,True,Mon Mar 02 2026 05:13:15 GMT+0000 (Coordinated Universal Time),29,204,18-24,male,high-school,yes,5,3,sometimes,662c6838-2d42-404d-b0d2-19ffb4d92a28,5,Mon Mar 02 2026 05:13:15 GMT+0000 (Coordinated Universal Time),0
5ca46736-b308-43d7-b6a6-cd5159ffdf65,b99c31bc-4598-4f18-b9a5-2dd05b2d500e,A,True,True,Mon Mar 02 2026 05:23:21 GMT+0000 (Coordinated Universal Time),4,626,18-24,male,bachelors,yes,3,1,sometimes,b99c31bc-4598-4f18-b9a5-2dd05b2d500e,5,Mon Mar 02 2026 05:23:21 GMT+0000 (Coordinated Universal Time),0
427648df-da36-442b-b714-01564aec93b0,044df129-8316-472c-8ed5-620e67497a7c,A,True,True,Mon Mar 02 2026 06:10:24 GMT+0000 (Coordinated Universal Time),3,1195,35-44,male,bachelors,yes,3,4,sometimes,044df129-8316-472c-8ed5-620e67497a7c,5,Mon Mar 02 2026 06:10:24 GMT+0000 (Coordinated Universal Time),0
768993d4-22a3-4086-b690-c4901dbaefda,d0e8b3e7-0714-4ca2-b9de-6a7020c497dc,A,True,True,Mon Mar 02 2026 06:59:30 GMT+0000 (Coordinated Universal Time),8,291,25-34,male,masters,yes,2,3,sometimes,d0e8b3e7-0714-4ca2-b9de-6a7020c497dc,5,Mon Mar 02 2026 06:59:30 GMT+0000 (Coordinated Universal Time),0
88f55eb6-e018-415e-903e-b3f1dabe8ea7,08307a9b-d4ea-4fb4-8178-c448ae46cc96,A,True,True,Mon Mar 02 2026 07:36:35 GMT+0000 (Coordinated Universal Time),8,553,45-54,female,bachelors,yes,3,4,very-often,08307a9b-d4ea-4fb4-8178-c448ae46cc96,5,Mon Mar 02 2026 07:36:35 GMT+0000 (Coordinated Universal Time),0
dd226657-3130-4fa2-b98c-f4f3a3f54c76,7d8cb064-84aa-4154-9353-b2ba37510050,C,True,True,Mon Mar 02 2026 07:45:07 GMT+0000 (Coordinated Universal Time),46,974,45-54,male,masters,yes,2,3,often,7d8cb064-84aa-4154-9353-b2ba37510050,5,Mon Mar 02 2026 07:45:07 GMT+0000 (Coordinated Universal Time),0
9e28ca42-0ffe-437e-9e4f-6e0b38cf9ecc,41f28bf0-ae5c-41b0-8273-c20eaa3e21ca,A,True,True,Mon Mar 02 2026 08:23:28 GMT+0000 (Coordinated Universal Time),7,477,25-34,male,bachelors,yes,4,4,sometimes,41f28bf0-ae5c-41b0-8273-c20eaa3e21ca,5,Mon Mar 02 2026 08:23:28 GMT+0000 (Coordinated Universal Time),0
2a4607c9-4263-4f2a-97cd-118b7b1cc568,ebb55a5b-7103-434b-8f8e-822d0ba81dae,A,True,True,Mon Mar 02 2026 08:55:20 GMT+0000 (Coordinated Universal Time),9,259,25-34,prefer-not-to-say,doctorate,yes,3,2,sometimes,ebb55a5b-7103-434b-8f8e-822d0ba81dae,5,Mon Mar 02 2026 08:55:20 GMT+0000 (Coordinated Universal Time),0
99dc2100-ca5e-41c7-bcc3-abcc9ef3bc32,3b9f22db-bba2-4726-8857-75061a1bd770,C,True,True,Mon Mar 02 2026 09:44:33 GMT+0000 (Coordinated Universal Time),42,480,25-34,female,some-college,yes,5,3,often,3b9f22db-bba2-4726-8857-75061a1bd770,5,Mon Mar 02 2026 09:44:33 GMT+0000 (Coordinated Universal Time),0
b0f03f21-65ac-4c21-be0d-490b5ce5bd5b,1954f07d-6087-40b4-a18c-aa03c06df5a7,A,True,True,Mon Mar 02 2026 10:21:12 GMT+0000 (Coordinated Universal Time),6,1073,18-24,female,masters,yes,3,2,sometimes,1954f07d-6087-40b4-a18c-aa03c06df5a7,5,Mon Mar 02 2026 10:21:12 GMT+0000 (Coordinated Universal Time),0
0c9f5ad3-e705-45fd-b85f-8ed09483238d,13183b1a-130b-4043-ad77-71b5aea0f963,C,True,True,Mon Mar 02 2026 10:50:18 GMT+0000 (Coordinated Universal Time),23,1045,25-34,male,high-school,no,4,2,sometimes,13183b1a-130b-4043-ad77-71b5aea0f963,5,Mon Mar 02 2026 10:50:18 GMT+0000 (Coordinated Universal Time),0
7b8bdeeb-23dd-46a9-9690-6e5ca1ff1654,61662586-9e40-44b1-88bb-69d8e51a48ea,C,True,True,Mon Mar 02 2026 10:59:40 GMT+0000 (Coordinated Universal Time),16,224,35-44,female,masters,yes,2,3,sometimes,61662586-9e40-44b1-88bb-69d8e51a48ea,5,Mon Mar 02 2026 10:59:40 GMT+0000 (Coordinated Universal Time),0
2861315d-9d51-4ceb-a9b9-3ec52a8c4b38,37f4170f-4493-47f7-aab3-decf26620f4f,A,True,True,Mon Mar 02 2026 11:17:25 GMT+0000 (Coordinated Universal Time),8,794,35-44,male,some-college,no,3,2,sometimes,37f4170f-4493-47f7-aab3-decf26620f4f,5,Mon Mar 02 2026 11:17:25 GMT+0000 (Coordinated Universal Time),0
0d409dd1-2637-4204-9fa3-3d10a5039d82,d7c3883a-41c9-4409-abfd-38eacb7ea355,A,True,True,Mon Mar 02 2026 11:42:02 GMT+0000 (Coordinated Universal Time),3,264,18-24,male,masters,yes,2,3,very-often,d7c3883a-41c9-4409-abfd-38eacb7ea355,5,Mon Mar 02 2026 11:42:02 GMT+0000 (Coordinated Universal Time),0
c33f10c3-9efa-481b-9b9d-97c5406ddc20,d4b4d6c9-df65-4944-b537-226499de99be,A,True,True,Mon Mar 02 2026 12:14:40 GMT+0000 (Coordinated Universal Time),8,860,25-34,female,masters,yes,4,2,sometimes,d4b4d6c9-df65-4944-b537-226499de99be,5,Mon Mar 02 2026 12:14:40 GMT+0000 (Coordinated Universal Time),0
ebce4b10-d214-44a7-a11e-312ec6c0e17e,4babac31-d23c-45fd-945f-6aa39cefcb47,C,True,True,Mon Mar 02 2026 12:19:41 GMT+0000 (Coordinated Universal Time),48,857,25-34,female,masters,yes,4,3,very-often,4babac31-d23c-45fd-945f-6aa39cefcb47,5,Mon Mar 02 2026 12:19:41 GMT+0000 (Coordinated Universal Time),0
143b048d-7264-46d2-a3b0-ff094823efb3,0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,C,True,True,Mon Mar 02 2026 13:01:28 GMT+0000 (Coordinated Universal Time),5,451,25-34,male,high-school,no,3,3,often,0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,5,Mon Mar 02 2026 13:01:28 GMT+0000 (Coordinated Universal Time),0
586a3ed4-4dcc-4b9c-9d31-c0d0c2b955fe,b7213d4e-6fe7-4fc4-8d3b-cc0fa91249d0,C,True,True,Mon Mar 02 2026 13:35:17 GMT+0000 (Coordinated Universal Time),59,1670,25-34,female,bachelors,yes,3,1,rarely,b7213d4e-6fe7-4fc4-8d3b-cc0fa91249d0,5,Mon Mar 02 2026 13:35:17 GMT+0000 (Coordinated Universal Time),0
5eadd082-240c-4c77-ab6b-54d5e2c0bcab,c0ebad7b-4493-4b4e-ae20-7add0021a235,C,True,True,Mon Mar 02 2026 14:09:10 GMT+0000 (Coordinated Universal Time),128,286,25-34,male,high-school,yes,1,3,sometimes,c0ebad7b-4493-4b4e-ae20-7add0021a235,5,Mon Mar 02 2026 14:09:10 GMT+0000 (Coordinated Universal Time),0
eaaea1b0-f440-4b8c-b9e0-e02ebb848973,5bfb62b1-4ff5-4ed4-8920-a75f1cc434aa,A,True,True,Mon Mar 02 2026 14:45:00 GMT+0000 (Coordinated Universal Time),8,630,45-54,male,bachelors,yes,3,3,sometimes,5bfb62b1-4ff5-4ed4-8920-a75f1cc434aa,5,Mon Mar 02 2026 14:45:00 GMT+0000 (Coordinated Universal Time),0
